lizard_id,species,sex,clutch,yolk_trt,temp_trt,date,age,mass,svl,tl
LD001_20,delicata,NA,CL001_20,A,28,11/2/2020,0,0.092,16.609,23.524
LD001_20,delicata,NA,CL001_20,A,28,11/16/2020,14,0.123,18.041,26.51
LD001_20,delicata,NA,CL001_20,A,28,11/22/2020,20,0.152,19.743,28.986
LD001_20,delicata,NA,CL001_20,A,28,11/29/2020,27,0.171,NA,NA
LD001_20,delicata,NA,CL001_20,A,28,12/6/2020,34,0.246,21.679,26.131
LD001_20,delicata,NA,CL001_20,A,28,12/19/2020,47,0.348,24.297,33.584
LD001_20,delicata,NA,CL001_20,A,28,1/5/2021,64,0.366,25.108,35.289
LD001_20,delicata,NA,CL001_20,A,28,1/31/2021,90,0.52,27.526,46.244
LD001_20,delicata,NA,CL001_20,A,28,3/8/2021,126,0.645,30.296,48.267
LD001_20,delicata,NA,CL001_20,A,28,5/25/2021,204,1.226,37,60
LD001_20,delicata,NA,CL001_20,A,28,6/29/2021,239,1.566,40,63
LD001_20,delicata,NA,CL001_20,A,28,8/7/2021,278,1.475,41,63
LD003_19,delicata,NA,CL32,C,28,1/8/2020,12,0.2385,NA,NA
LD010_20,delicata,m,CL004_20,A,28,11/4/2020,0,0.115,17.671,NA
LD010_20,delicata,m,CL004_20,A,28,11/16/2020,12,0.153,18.77,26.467
LD010_20,delicata,m,CL004_20,A,28,11/22/2020,18,0.204,20.202,29.988
LD010_20,delicata,m,CL004_20,A,28,11/29/2020,25,0.1995,NA,NA
LD010_20,delicata,m,CL004_20,A,28,12/6/2020,32,0.255,21.721,31.771
LD010_20,delicata,m,CL004_20,A,28,12/19/2020,45,0.342,22.862,37.421
LD010_20,delicata,m,CL004_20,A,28,1/5/2021,62,0.409,26.54,NA
LD010_20,delicata,m,CL004_20,A,28,1/31/2021,88,0.504,28.813,45.165
LD010_20,delicata,m,CL004_20,A,28,2/2/2021,90,0.485,30.362,NA
LD010_20,delicata,m,CL004_20,A,28,3/8/2021,124,0.679,30.7,49.773
LD010_20,delicata,m,CL004_20,A,28,5/25/2021,202,1.115,36,59
LD010_20,delicata,m,CL004_20,A,28,7/2/2021,240,1.229,38,63
LD010_20,delicata,m,CL004_20,A,28,8/7/2021,276,1.192,38,63
LD011_20,delicata,f,CL004_20,A,28,11/3/2020,0,0.101,18.047,NA
LD011_20,delicata,f,CL004_20,A,28,11/16/2020,13,0.16,19.545,25.023
LD011_20,delicata,f,CL004_20,A,28,11/22/2020,19,0.182,20.471,26.747
LD011_20,delicata,f,CL004_20,A,28,11/29/2020,26,0.1945,NA,NA
LD011_20,delicata,f,CL004_20,A,28,12/6/2020,33,0.227,22.33,29.298
LD011_20,delicata,f,CL004_20,A,28,12/19/2020,46,0.307,23.293,34.82
LD011_20,delicata,f,CL004_20,A,28,1/5/2021,63,0.364,24.37,32.492
LD011_20,delicata,f,CL004_20,A,28,1/31/2021,89,0.482,28.539,40.763
