date,samp_session,id,treatment,series_temp,age,temp,prior_temp,lnmass,z_lnmass,lnmr
7/4/2018,1,ld0449,29,ld0449_1_30,130,30,35.4,-1.461017907,-0.090071294,-5.754002153
7/4/2018,1,ld0449,29,ld0449_1_30,130,30,35.4,-1.461017907,-0.090071294,-5.857491761
7/4/2018,1,ld0449,29,ld0449_1_26,130,26,30,-1.461017907,-0.090071294,-6.382705107
7/4/2018,1,ld0449,29,ld0449_1_26,130,26,30,-1.461017907,-0.090071294,-6.364522788
7/4/2018,1,ld0451,29,ld0451_1_24,124,24,24.1,-1.491654877,-0.238015922,-6.651192073
7/4/2018,1,ld0451,29,ld0451_1_24,124,24,24.1,-1.491654877,-0.238015922,-6.495668709
7/4/2018,1,ld0451,29,ld0451_1_34,124,34,24,-1.491654877,-0.238015922,-5.82054264
7/4/2018,1,ld0451,29,ld0451_1_34,124,34,24,-1.491654877,-0.238015922,-6.302380727
7/4/2018,1,ld0455,29,ld0455_1_30,120,30,24.1,-1.482805262,-0.195281505,-5.602391564
7/4/2018,1,ld0455,29,ld0455_1_30,120,30,24.1,-1.482805262,-0.195281505,-6.655581713
7/4/2018,1,ld0455,29,ld0455_1_26,120,26,30,-1.482805262,-0.195281505,NA
7/4/2018,1,ld0455,29,ld0455_1_26,120,26,30,-1.482805262,-0.195281505,-5.811291137
7/4/2018,1,ld0457,29,ld0457_1_30,119,30,24.4,-1.474033275,-0.152921955,-5.792618228
7/4/2018,1,ld0457,29,ld0457_1_30,119,30,24.4,-1.474033275,-0.152921955,-5.656353348
7/4/2018,1,ld0457,29,ld0457_1_26,119,26,30,-1.474033275,-0.152921955,-6.540335806
7/4/2018,1,ld0457,29,ld0457_1_26,119,26,30,-1.474033275,-0.152921955,-6.429619091
7/4/2018,1,ld0460,23,ld0460_1_30,114,30,24.6,-1.491654877,-0.238015922,-5.743423211
7/4/2018,1,ld0460,23,ld0460_1_30,114,30,24.6,-1.491654877,-0.238015922,-5.838108152
7/4/2018,1,ld0460,23,ld0460_1_26,114,26,30,-1.491654877,-0.238015922,-6.294829169
7/4/2018,1,ld0460,23,ld0460_1_26,114,26,30,-1.491654877,-0.238015922,-6.320362471
7/4/2018,1,ld0461,23,ld0461_1_24,113,24,26.2,-1.570217199,-0.617390051,-6.318605619
