Egg_ID,ID,toeClip,TissueBox,sex,clutch,egg_encl_ID,mating_encl_ID,current_encl,species,trt,yolk,temp,mortality,liz_status,season,date_egg_laid_(day/m/year)),date_egg_laid_(year/m/day),hatch_date_(year/m/day),Hatch_data_(day/m/year),egg_mass,egg_length_mm,egg_width_mm,post_extract_mass,X.reduction,hatch_mass,hatch_svl,hatch_tl,hatch_total,death_date,notes
EG157,LG036,"""0232""",Box 1.21,f,CL58,E12,E018_M,,delicata,C-23,C,23,0,ALIVE,2019/20,,19/12/2017,20/2/2002,2/2/2020,0.142,7.85,5.82,NA,20/2/2002,0.11,17.232,21.54,38.772,,Was labelled as LG033
EG078,LG034,"""5000""",Box 1.21,m,CL34,E8,E001_M,,guichenoti,C-23,C,23,0,ALIVE,2019/20,,19/11/2026,20/1/2015,15/1/2020,0.181,8.43,6.22,NA,20/1/2015,0.159,19.445,25.733,49.78,,"eggs stuck together; species is actually guichenoitii, changed on 27/1/20. updated ID is LG034 (original ID LD621)"
EG035,LG033,"""0031""",Box 1.21,m,CL019,E12,E002_M,E002_M,guichenoti,C-23,C,23,0,ALIVE,2019/20,,19/11/2022,20/1/2013,13/1/2020,0.162,8.31,5.62,NA,20/1/2013,0.136,17.616,21.241,45.282,,eggs stuck together; Re-did length photograph on 15.01.20 (wasn't done properly first time) was LD614
EG034,LG032,"""3400""",Box 1.21,f,CL019,E12,E006_M,E002_M,guichenoti,A-23,A,23,0,ALIVE,2019/20,,19/11/2022,20/1/2013,13/1/2020,0.163,9.46,5.66,0.144,20/1/2013,0.133,NA,NA,NA,,"eggs stuck together; Re-did length photograph on 15.01.20 (wasn't done properly first time). LD613 and LD614 are guichenoitii, changed on 27/1/20. - look for 8841"
EG161,LG031,"""4520""",Box 1.21,f,CL61,E14,E019_M,E019_M,delicata,C-28,C,28,0,ALIVE,2019/20,,19/12/2026,20/1/2025,25/1/2020,0.143,9.21,5.45,NA,20/1/2025,0.116,18.052,26.971,NA,,photo number is incorrect. Reads LD625. 
EG141,LG029,"""3222""",Box 1.20,f,CL53,E13,E008_M,,delicata,A-23,A,23,0,ALIVE,2019/20,,19/12/2008,20/1/2022,,0.132,7.91,5.56,0.112,20/1/2023,0.058,15.942,19.662,35.604,,"all yolk; perfect; photo and body mass measurements taken 1 dph, because hatchling escaped into scales"
EG109,LG027,"""(23)(34)13""",Box 1.21,m,CL42,E1,E005_M,E004_M,guichenoti,A-23,A,23,0,ALIVE,2019/20,,19/12/2001,20/1/2021,,0.169,8.83,5.97,0.138,20/1/2021,0.11,16.018,21.366,37.384,,good one; yolk
EG150,LG025,"""(23)(1234)50""",Box 1.21,f,CL56,E11,E003_M,E003_M/E005_M,guichenoti,C-28,C,28,0,ALIVE,2019/20,,19/12/2015,20/1/2019,,0.152,9.1,5.11,NA,20/1/2019,0.082,15.963,19.073,35.036,,
EG084,LG024,"""3300""",Box 1.21,m,CL36,E1,E004_M,,guichenoti,C-23,C,23,1,DEAD,2019/20,,19/11/2026,20/1/2017,,0.188,9.55,5.75,NA,20/1/2017,0.193,19.986,26.749,46.735,,
EG153,LG022,"""1005""",Box 1.21,f,CL57,E11,E002_M,,guichenoti,C-28,C,28,0,ALIVE,2019/20,,19/12/2017,20/1/2017,,0.178,8.55,5.94,NA,20/1/2017,0.151,18.635,30.139,48.774,,
EG054,LD603,NA,,NA,CL026,E6,NA,,delicata,A-23,A,23,1,DEAD,2019/20,,19/11/2024,20/1/2009,,0.111,8.52,4.61,0.089,20/1/2009,0.069,15.603,18.772,34.375,,eggs stuck together
EG110,LD589,NA,,NA,CL43,E6,NA,,delicata,A-23,A,23,1,DEAD,2019/20,,19/12/2001,20/1/2001,,0.121,7.56,5.47,0.097,20/1/2001,0.099,17.87,24.739,42.609,,good one; yolk
