,Egg_ID,ID,toeClip,TissueBox,sex,clutch,egg_encl_ID,mating_encl_ID,current_encl,species,trt,yolk,temp,mortality,liz_status,season,date_egg_laid_.day.m.year..,egg_date,hatch_date,Hatch_data_.day.m.year.,egg_mass,egg_length_mm,egg_width_mm,post_extract_mass,egg_mass_final,X.reduction,hatch_mass,hatch_svl,hatch_tl,hatch_total,death_date,notes,dev_time,days_alive,yr_post_hatch_mortality
422,EG118,LG030,NA,,NA,CL45,E4,NA,,guichenoti,C-23,C,23,1,DEAD,2019/20,,5/12/2019,23/1/2020,,0.185,9.49,5.97,NA,0.185,20/1/2023,0.148,19.08,24.304,43.384,25/1/2020,found dead 25/01/20,49,2,Yes
116,EG124_20,LD124_20,,Box 1.20,,CL035_20,E021_M,,,delicata,A-28,A,28,1,DEAD,2020/21,,31/10/2020,29/11/2020,,0.156,8.97,5.82,0.132,0.132,0.153846154,0.088,16.979,19.576,36.555,2/12/2020,Not best; albumin mostly; Died after hatching2/12/20,29,3,Yes
608,EG436_20,LD436_20,,,,CL128_20,E046_M,,,delicata,C-23,C,23,1,DEAD,2020/21,29/11/2020,29/11/2020,15/1/2021,,0.135,8.45,5.39,NA,0.135,NA,0.09,17.116,21.603,38.719,18/1/2021,died 18/1/21,47,3,Yes
209,EG288_20,LD288_20,,Box 1.22,,CL086_20,E011_M,,,delicata,A-23,A,23,1,DEAD,2020/21,12/11/2020,12/11/2020,24/12/2020,,0.199,7.81,6.65,0.174,0.174,0.125628141,0.119,17.389,23.652,41.041,28/12/2020,a bit watery; baby died 28/12,42,4,Yes
271,EG394_20,LD394_20,,Box 1.22,,CL115_20,E067_M,,,delicata,A-28,A,28,1,DEAD,2020/21,23/11/2020,23/11/2020,22/12/2020,,0.136,8.05,5.52,0.116,0.116,0.147058824,0.088,17.41,22.102,39.512,28/12/2020,baby died 28/12,29,6,Yes
190,EG255_20,LG255_20,,Box 1.23,,CL075_20,E055_M,,,guichenoti,A-23,A,23,1,DEAD,2020/21,9/11/2020,9/11/2020,2/1/2021,,0.143,8.7,5.43,0.127,0.127,0.111888112,0.118,17.785,22.559,40.344,9/1/2021,died 9/1/21,54,7,Yes
478,EG129_20,LD129_20,,Box 1.22,,CL036_20,E029_M,,,delicata,C-23,C,23,1,DEAD,2020/21,2/11/2020,2/11/2020,21/12/2020,,0.168,8.92,5.98,NA,0.168,NA,0.131,18.99,25.421,44.411,28/12/2020,perfect yolk exttaction; baby died 28/12,49,7,Yes
237,EG337_20,LD337_20,,Box 1.23,,CL098_20,E067_M,,,delicata,A-23,A,23,1,DEAD,2020/21,16/11/2020,16/11/2020,2/1/2021,,0.112,8.53,4.9,0.098,0.098,0.125,0.096,18.116,20.984,39.1,10/1/2021,Died 10/01/21,47,8,Yes
171,EG221_20,LG221_20,,Box 1.23,,CL064_20,E050_M,,,guichenoti,A-23,A,23,1,DEAD,2020/21,7/11/2020,7/11/2020,3/1/2021,,0.163,9.11,5.58,0.145,0.145,0.110429448,0.133,NA,NA,NA,13/1/2021,"died 13/1/21, the cloacal scales is invisible",57,10,Yes
133,EG152_20,LD152_20,"""0220""",Box 1.22,m,CL045_20,E030_M,,,delicata,A-28,A,28,1,DEAD,2020/21,4/11/2020,4/11/2020,2/12/2020,,0.123,8.2,5.17,0.108,0.108,0.12195122,0.098,17.214,21.569,38.783,16/12/2020,"perfect yolk exttaction, died 16.12.20",28,14,Yes
