POP,SEX,TB,MORPH
CA,Female,14.5,Plain
CA,Female,16.4,Plain
CA,Female,16.7,Plain
CA,Male,16.8,Plain
CA,Male,17.3,Plain
CA,Female,17.5,Plain
CA,Female,17.7,Plain
CA,Female,17.7,Plain
CA,Female,17.8,Plain
CA,Female,18.1,Plain
CA,Female,18.4,Plain
CA,Female,18.5,Plain
CA,Female,18.9,Plain
CA,Male,19.1,Plain
CA,Male,19.1,Plain
CA,Female,19.2,Plain
CA,Female,19.2,Plain
CA,Female,19.3,Plain
CA,Female,19.6,Plain
CA,Female,19.7,Plain
CA,Female,19.7,Plain
CA,Female,20.4,Plain
CA,Male,20.5,Plain
CA,Male,21,Plain
CA,Male,21,Plain
CA,Female,21.1,Plain
CA,Female,21.2,Plain
CA,Female,21.6,Plain
CA,Male,22.5,Plain
CA,Male,23,Plain
CA,Female,23.2,Plain
CA,Male,23.5,Plain
CA,Female,23.7,Plain
CA,Male,23.8,Plain
CA,Male,24,Plain
CA,Female,24.1,Plain
CA,Female,24.2,Plain
CA,Male,24.8,Plain
CA,Male,25.2,Plain
CA,Female,25.3,Plain
CA,Male,26,Plain
CA,Male,26.4,Plain
CA,Male,26.7,Plain
CA,Male,27,Plain
CA,Male,27.2,Plain
CA,Male,28,Plain
CA,Female,28.4,Plain
CA,Male,28.5,Plain
CA,Male,28.7,Plain
CA,Male,29.1,Plain
CB,Male,12.6,Plain
CB,Female,13.6,Plain
CB,Male,14.2,Plain
CB,Male,14.3,Plain
CB,Male,14.4,Plain
CB,Male,14.5,Plain
CB,Male,14.6,Plain
CB,Male,14.7,Plain
CB,Female,15,Plain
CB,Male,15,Plain
CB,Male,15,Plain
CB,Female,15.1,Plain
CB,Male,15.5,Plain
CB,Male,15.6,Plain
CB,Female,15.9,Plain
CB,Male,16,Plain
CB,Female,16.3,Plain
CB,Female,16.3,Plain
CB,Female,16.7,Plain
CB,Female,16.7,Plain
CB,Male,17.2,Plain
CB,Male,17.2,Plain
CB,Female,17.3,Plain
CB,Male,17.5,Plain
CB,Male,17.6,Plain
CB,Male,17.8,Plain
CB,Female,18.2,Plain
CB,Male,18.2,Plain
CB,Male,18.4,Plain
CB,Male,18.4,Plain
CB,Male,18.5,Plain
CB,Female,18.8,Plain
CB,Female,18.8,Plain
CB,Female,19,Plain
CB,Male,19.1,Plain
CB,Female,19.2,Plain
CB,Male,20,Plain
CB,Male,20.6,Plain
CB,Male,20.9,Plain
CB,Female,21.1,Plain
CB,Male,22.9,Plain
MA,Female,22.1,Plain
MA,Female,22.3,Plain
MA,Female,22.3,Plain
MA,Female,22.5,Plain
MA,Male,22.6,Plain
MA,Female,23,Plain
MA,Female,23.2,Plain
MA,Female,23.5,Plain
MA,Male,23.6,Plain
MA,Male,23.9,Plain
MA,Male,24,Plain
MA,Male,24.5,Plain
MA,Female,24.6,Plain
MA,Male,24.7,Plain
MA,Female,24.8,Plain
MA,Female,24.9,Plain
MA,Male,24.9,Plain
MA,Female,25,Plain
MA,Female,25,Plain
MA,Male,25,Plain
MA,Female,25.1,Plain
MA,Female,25.3,Plain
MA,Female,25.4,Plain
MA,Male,25.5,Plain
MA,Female,25.6,Plain
MA,Female,25.6,Plain
MA,Male,25.8,Plain
MA,Male,26.1,Plain
MA,Female,26.2,Plain
MA,Male,26.2,Plain
MA,Male,26.2,Plain
MA,Male,26.3,Plain
MA,Female,26.4,Plain
MA,Female,26.4,Plain
MA,Female,26.5,Plain
MA,Male,26.5,Plain
MA,Female,26.6,Plain
MA,Female,26.6,Plain
MA,Female,26.6,Plain
MA,Female,26.6,Plain
MA,Male,26.6,Plain
MA,Male,26.6,Plain
MA,Female,26.7,Plain
MA,Male,26.8,Plain
MA,Female,26.9,Plain
MA,Male,27,Plain
MA,Male,27,Plain
MA,Female,27.1,Plain
MA,Male,27.1,Plain
MA,Male,27.2,Plain
MA,Male,27.6,Plain
MA,Female,27.9,Plain
MA,Female,28.1,Plain
MA,Male,28.2,Plain
MA,Male,28.6,Plain
MA,Male,28.9,Plain
MA,Female,29.1,Plain
MA,Male,29.4,Plain
MA,Male,29.7,Plain
MA,Male,30.6,Plain
MB,Female,16.1,Stripe
MB,Male,17.1,Plain
MB,Male,20.2,Plain
MB,Male,20.3,Plain
MB,Female,20.7,Stripe
MB,Female,21.2,Stripe
MB,Male,21.2,Plain
MB,Female,21.8,Stripe
MB,Female,21.9,Stripe
MB,Female,22,Stripe
MB,Male,22.4,Plain
MB,Male,22.8,Plain
MB,Male,23.1,Plain
MB,Male,23.2,Plain
MB,Female,23.9,Stripe
MB,Female,24,Stripe
MB,Male,24.5,Plain
MB,Female,24.8,Stripe
MB,Male,24.8,Plain
MB,Female,24.9,Stripe
MB,Male,24.9,Plain
MB,Female,25,Stripe
MB,Female,25.1,Stripe
MB,Female,25.2,Stripe
MB,Female,25.2,Stripe
MB,Female,25.2,Stripe
MB,Male,25.4,Plain
MB,Female,25.7,Stripe
MB,Female,25.7,Stripe
MB,Female,26.1,Stripe
MB,Male,26.1,Plain
MB,Female,26.3,Stripe
MB,Female,26.6,Stripe
MB,Female,26.6,Stripe
MB,Male,26.6,Plain
MB,Male,26.8,Plain
MB,Female,26.9,Stripe
MB,Female,27.6,Stripe
MB,Male,27.9,Plain
MB,Male,28,Plain
MB,Male,31,Plain
MB,Male,25.4,Plain
MB,Male,23.1,Plain
MB,Male,20.2,Plain
,,22.60769231,
,,12.6,
,,31,
