ID,MORPH,SEX,RIGHT,LEFT,DORS,DNIR,LNIR,RNIR
PM1,Stripe,Female,44.4101698,29.76873594,19.15196011,33.3401556,42.79592434,62.6520342
PM10,Stripe,Female,38.87845912,34.7543613,35.70288419,48.55846594,40.22549802,48.18578056
PM100,Stripe,Male,31.4997519,14.98257788,13.80474882,24.31093289,22.52454221,38.7512194
PM101,Stripe,Male,54.15194395,44.13389718,16.59718433,29.03328243,60.55256729,69.03457248
PM104,Plain,Male,40.10112203,23.58967002,19.88621071,31.43093141,39.7850018,59.0397586
PM107,Plain,Male,37.99623654,22.00434895,10.73741752,18.46236233,30.63478589,50.02773568
PM109,Plain,Male,48.57794289,35.19999845,21.00582192,34.96636481,52.00275098,68.16691459
PM11,Stripe,Female,45.3988939,25.27767812,24.87591929,35.70353982,33.16945452,59.67886981
PM111,Plain,Male,26.53152388,28.60106917,24.34376624,38.25218438,41.90184856,40.0921594
PM112,Plain,Male,31.30734765,12.31660855,17.15303112,26.10346242,19.78663437,42.71934075
PM117,Stripe,Male,24.2577616,14.31050569,14.45062154,25.33738341,25.55350639,37.24355038
PM118,Plain,Male,39.02606793,27.17287516,23.21717393,36.37194229,39.12795043,56.41816203
PM12,Stripe,Male,17.15442287,18.41396043,9.320038934,16.77397231,28.22120837,27.27823507
PM120,Stripe,Male,32.98953125,26.3846389,16.96411195,29.03400971,39.97499476,44.14617448
PM122,Stripe,Male,40.94502827,29.85537598,11.19585488,20.2971247,46.16944935,60.56078011
PM123,Plain,Male,40.40036358,30.43423557,18.70610154,28.3594742,41.27682185,52.9509804
PM124,Plain,Female,36.90757693,35.052009,14.93190525,23.99210139,49.05257076,52.35162319
PM125,Plain,Female,37.58737793,34.20008857,19.2904335,34.55798852,51.46746346,58.13234061
PM126,Stripe,Male,24.53058229,28.10537796,20.62764969,37.07446247,43.85567129,39.36518405
PM127,Stripe,Male,41.91719452,18.99544095,12.09562646,22.70788388,30.58221002,59.09636227
PM128,Stripe,Male,49.37329096,18.25062688,17.25305381,29.03036783,29.42841462,68.83405883
PM129,Stripe,Male,41.60551548,19.41682745,15.42138987,27.66825433,31.44624363,56.25255
PM130,Stripe,Male,45.28817924,14.73124813,19.48850544,31.13294285,20.45062487,60.11551542
PM131,Plain,Male,37.87186968,26.01394144,27.15734396,37.87352687,32.6664437,45.62400662
PM132,Stripe,Male,19.04045073,18.10118488,13.38119352,23.20449248,24.73762658,29.33721486
PM134,Stripe,Male,49.02720865,33.26639372,17.40866872,29.08433647,49.35966321,71.91814786
PM135,Stripe,Male,44.30548029,25.38267343,14.83085492,28.41283031,40.34718527,65.36131169
PM136,Stripe,Male,47.18270694,16.59282264,14.71073495,26.18412368,22.39956374,62.60724474
PM137,Stripe,Male,42.86431821,31.65202525,22.45677211,37.16673466,49.63377049,64.0496606
PM138,Stripe,Male,27.66418609,14.69955874,9.423531535,15.29283838,23.18774318,42.02075281
PM14,Stripe,Male,30.70633787,23.89648054,16.37064394,27.50556199,33.10127443,42.76779268
PM140,Stripe,Male,37.6545419,24.32106601,19.61452583,31.03004595,36.94046549,50.33166556
PM141,Stripe,Male,35.91544444,23.5963508,16.4986727,28.71032424,33.5463876,45.54107706
PM142,Stripe,Male,36.07202815,23.6315539,18.21755453,31.99844755,40.5327786,60.16827456
PM143,Stripe,Male,27.36321998,17.23223676,17.78064963,28.10968215,26.78928975,41.36187694
PM146,Plain,Female,42.93517121,19.68729165,22.65288986,30.66762966,25.15323951,53.76450533
PM147,Stripe,Male,34.45722329,26.8586243,19.24894471,33.46870328,39.66096556,48.08596972
PM148,Plain,Male,41.27320117,26.84485853,20.92150987,28.08882782,34.5910127,51.12718057
PM149,Stripe,Male,51.964304,17.2250449,16.03644672,26.80274592,27.42764576,72.34596687
