ID,DATE,MORPH,SEX,TMIN,TMAX,WMEAN,ACT
DR132,JN28,Plain,Female,24.5,28.5,25.7858035,4356
DR167,JN28,Plain,Male,27.5,28,27.70368239,5889
DR211,JN28,Plain,Male,23,27.5,26.20605947,4101
DR213,JN28,Plain,Female,11.5,28.5,19.51160024,5077
DR83,JN28,Plain,Female,25,28,26.2173433,871
PM1,JN22,Stripe,Female,19,29,24.50913838,5992
PM10,JN23,Stripe,Female,26,31.5,28.53171642,4346
PM100,NV9,Stripe,Male,26,27.5,26.90025023,2362
PM101,NV16,Stripe,Male,26,30.5,28.55873993,2536
PM104,OB23,Plain,Male,17.5,25.5,20.94356436,5748
PM107,NV2,Plain,Male,27,28,27.56545961,1732
PM11,JL5,Stripe,Female,26.5,28.5,27.58709777,3526
PM111,OB23,Plain,Male,18.5,28,22.62967547,3122
PM112,OB31,Plain,Male,26,29.5,28.06403659,3260
PM117,NV10,Stripe,Male,25,28,26.54363941,2576
PM118,OB23,Plain,Male,28,29.5,28.54711246,6429
PM12,OB24,Stripe,Male,17.5,28,19.56733167,3149
PM120,NV14,Stripe,Male,27,29,28.54825737,6012
PM122,NV14,Stripe,Male,26,30.5,28.21870264,3459
PM124,JL6,Plain,Female,27,30,28.63684771,4880
PM125,JN29,Plain,Female,24.5,26.5,25.45625567,4552
PM126,NV9,Stripe,Male,23.5,28,24.41438488,1572
PM127,NV13,Stripe,Male,12.5,12.5,12.5,474
PM128,NV14,Stripe,Male,27,28.5,27.60570711,3972
PM129,NV13,Stripe,Male,14.5,28.5,20.44757433,2285
PM130,NV10,Stripe,Male,25,31,26.79086538,3846
PM131,JN29,Plain,Male,24.5,28,26.22977831,3420
PM132,NV9,Stripe,Male,26,27,26.89132751,2065
PM134,NV13,Stripe,Male,26.5,27.5,27.14092738,1539
PM135,NV14,Stripe,Male,24,29,27.4764683,4187
PM136,NV10,Stripe,Male,27,29.5,28.32029795,5684
PM137,NV14,Stripe,Male,19.5,29.5,23.91827315,3075
PM138,NV9,Stripe,Male,24.5,28,26.156098,1207
PM138,JN29,Plain,Male,15.5,21.5,16.11188969,2334
PM14,OB30,Stripe,Male,27.5,29,28.39622374,3236
PM140,NV14,Stripe,Male,21,29.5,28.46575548,3429
PM142,NV10,Stripe,Male,13.5,29.5,25.57243147,2271
PM143,NV13,Stripe,Male,24.5,27.5,26.29375407,3684
PM146,JL5,Plain,Female,20.5,29.5,26.01905903,2167
PM148,JL5,Plain,Male,28,28,28,6164
