bd_liz_id,process_researcher,imgj_researcher,liz_hatch_date,bd_date,bd_mass,bd_hwid,bd_svl,bd_tail,bd_hlen,egg_incub_temp,liz_status,process_notes,dup_check_serial,dup_check
ld0216,FK,JC,19/11/2016,11-19-2016,0.105,3.07,17.06,18.62,4.54,29,DEAD,,ld021642693,Original
ld0216,FK,JC,19/11/2016,11-25-2016,NA,3.015,17.13,19.86,,29,DEAD,,ld021642699,Original
ld0216,JC,JC,19/11/2016,12/3/2016,0.111,3.26,18.466,18.513,4.63,29,DEAD,,ld021642707,Original
ld0217,FK,JC,20/11/2016,11-20-2016,0.134,2.68,16.42,20.85,4.51,29,DEAD,,ld021742694,Original
ld0217,FK,JC,20/11/2016,11-25-2016,NA,3.372,18.714,22.34,,29,DEAD,,ld021742699,Original
ld0217,JC,JC,20/11/2016,12/4/2016,0.129,3.276,18.569,22.993,4.81,29,DEAD,,ld021742708,Original
ld0217,JC,JC,20/11/2016,12-19-2016,0.099,3.213,19.412,22.692,4.64,29,DEAD,,ld021742723,Original
ld0218,FK,JC,20/11/2016,11-20-2016,0.118,2.89,16.56,21.66,4.41,29,DEAD,,ld021842694,Original
ld0218,JC,JC,20/11/2016,12/4/2016,0.126,3.198,18.571,21.955,3.94,29,DEAD,,ld021842708,Original
ld0218,JC,JC,20/11/2016,12-19-2016,0.122,3.228,19.417,22.153,4.6,29,DEAD,,ld021842723,Original
ld0219,BS,CW,22/11/2016,11-22-2016,0.133,3.12,19.76,23.95,4.09,29,DEAD,,ld021942696,Original
ld0219,FK,CW,22/11/2016,11-25-2016,NA,3.422,18.69,22.167,,29,DEAD,,ld021942699,Original
ld0219,JC,CW,22/11/2016,12/6/2016,0.129,3.229,18.427,23.963,4.6,29,DEAD,,ld021942710,Original
ld0219,JC,CW,22/11/2016,1/4/2017,0.136,3.26,19.57,23.46,4.66,29,DEAD,,ld021942739,Original
ld0219,JC,CW,22/11/2016,01-18-2017,0.151,3.33,20.54,26.56,4.68,29,DEAD,,ld021942753,Original
ld0219,JC,CW,22/11/2016,2/1/2017,0.192,3.215,21.436,26.101,4.72,29,DEAD,,ld021942767,Original
ld0219,JC,CW,22/11/2016,02-23-2017,0.226,3.8,23.42,28.75,4.91,29,DEAD,,ld021942789,Original
ld0219,JC,CW,22/11/2016,03-23-2017,0.302,3.84,23.55,33.82,5.1,29,DEAD,,ld021942817,Original
ld0219,JC,CW,22/11/2016,04-18-2017,0.31,3.91,24.72,33.99,5.39,29,DEAD,,ld021942843,Original
ld0219,FK,CW,22/11/2016,05-19-2017,0.323,3.81,26.33,35.39,5.19,29,DEAD,,ld021942874,Original
ld0219,FK,NA,22/11/2016,07-20-2017,0.381,3.63,26,,5.43,29,DEAD,,ld021942936,Original
ld0219,FK,NA,22/11/2016,09-15-2017,0.34,3.81,27,,5.48,29,DEAD,,ld021942993,Original
ld0219,FK,NA,22/11/2016,11/7/2017,0.393,4.07,27,,5.48,29,DEAD,,ld021943046,Original
ld0219,FK,NA,22/11/2016,01-15-2018,0.447,3.93,27,,5.58,29,DEAD,,ld021943115,Original
ld0219,FK,NA,22/11/2016,3/6/2018,0.401,3.6,28,,5.58,29,DEAD,,ld021943165,Original
ld0220,BS,CW,22/11/2016,11-22-2016,0.123,3.18,19.19,21.17,4.32,29,DEAD,,ld022042696,Original
ld0220,FK,CW,22/11/2016,11-22-2016,0.123,3.18,19.19,21.17,4.32,29,DEAD,,ld022042696,Duplicate
ld0220,FK,CW,22/11/2016,11-25-2016,NA,3.287,18.005,19.463,,29,DEAD,,ld022042699,Original
ld0220,JC,CW,22/11/2016,12/6/2016,0.116,3.124,18.617,20.15,4.62,29,DEAD,,ld022042710,Original
ld0220,JC,CW,22/11/2016,1/4/2017,0.138,3.21,19.56,20.36,4.62,29,DEAD,,ld022042739,Original
ld0220,JC,CW,22/11/2016,01-18-2017,0.149,3.24,20.09,22.69,4.55,29,DEAD,,ld022042753,Original
ld0220,JC,CW,22/11/2016,2/1/2017,0.199,3.452,23.115,25.023,4.73,29,DEAD,,ld022042767,Original
ld0220,JC,CW,22/11/2016,02-23-2017,0.216,3.4,24.33,27.66,5.07,29,DEAD,,ld022042789,Original
ld0220,JC,CW,22/11/2016,03-23-2017,0.29,3.44,25.54,28.08,5.24,29,DEAD,,ld022042817,Original
ld0220,JC,CW,22/11/2016,04-18-2017,0.275,3.52,26.67,29.58,5.35,29,DEAD,,ld022042843,Original
ld0220,FK,CW,22/11/2016,05-19-2017,0.302,3.7,26.11,31.24,5.14,29,DEAD,,ld022042874,Original
ld0220,FK,CW,22/11/2016,07-20-2017,0.313,3.47,24.5,,5.23,29,DEAD,,ld022042936,Original
ld0220,FK,CW,22/11/2016,09-15-2017,0.288,3.45,27,,5.56,29,DEAD,,ld022042993,Original
ld0220,FK,CW,22/11/2016,11/7/2017,0.478,3.77,28,,5.44,29,DEAD,,ld022043046,Original
ld0220,FK,CW,22/11/2016,01-15-2018,0.479,3.88,29,,5.67,29,DEAD,,ld022043115,Original
ld0220,FK,CW,22/11/2016,01-15-2018,0.466,3.95,29.5,,5.91,29,DEAD,,ld022043115,Duplicate
ld0220,FK,CW,22/11/2016,3/6/2018,0.388,3.71,30,,6.05,29,DEAD,,ld022043165,Original
ld0221,BS,CW,22/11/2016,11-22-2016,0.122,,,,4.2,29,DEAD,,ld022142696,Original
ld0221,FK,CW,22/11/2016,11-25-2016,NA,3.282,17.232,22.14,,29,DEAD,,ld022142699,Original
ld0221,JC,CW,22/11/2016,12/6/2016,0.11,3.091,17.689,23.32,4.7,29,DEAD,,ld022142710,Original
ld0222,BS,CW,23/11/2016,11-23-2016,0.138,3.17,19.01,24.8,4.47,29,ALIVE,,ld022242697,Original
ld0222,FK,CW,23/11/2016,11-25-2016,NA,3.11,17.753,22.507,,29,ALIVE,,ld022242699,Original
ld0222,JC,CW,23/11/2016,12/7/2016,0.131,3.258,19.116,23.472,4.66,29,ALIVE,,ld022242711,Original
ld0222,JC,CW,23/11/2016,12-21-2016,0.126,,,,4.78,29,ALIVE,,ld022242725,Original
ld0222,JC,CW,23/11/2016,1/4/2017,0.144,3.18,20.27,23.72,4.28,29,ALIVE,,ld022242739,Original
ld0222,JC,CW,23/11/2016,01-18-2017,0.151,3.17,19.56,25.03,4.59,29,ALIVE,,ld022242753,Original
ld0222,JC,CW,23/11/2016,2/1/2017,0.197,3.581,21.795,26.259,4.33,29,ALIVE,,ld022242767,Original
ld0222,JC,CW,23/11/2016,02-23-2017,0.209,3.33,22.46,27.82,4.65,29,ALIVE,,ld022242789,Original
ld0222,JC,CW,23/11/2016,03-23-2017,0.249,3.49,23.75,29.98,5.11,29,ALIVE,,ld022242817,Original
ld0222,JC,CW,23/11/2016,04-18-2017,0.297,3.47,26.08,29.39,5.13,29,ALIVE,,ld022242843,Original
ld0222,FK,CW,23/11/2016,05-19-2017,0.318,3.54,26.06,31.83,4.78,29,ALIVE,,ld022242874,Original
ld0222,FK,CW,23/11/2016,07-20-2017,0.365,3.56,26.5,,4.72,29,ALIVE,,ld022242936,Original
ld0222,FK,CW,23/11/2016,09-15-2017,0.348,3.76,27.5,,5.43,29,ALIVE,,ld022242993,Original
ld0222,FK,CW,23/11/2016,11-14-2017,0.509,3.91,30,,5.58,29,ALIVE,,ld022243053,Original
ld0222,FK,CW,23/11/2016,01-15-2018,0.477,3.81,30,,5.62,29,ALIVE,,ld022243115,Original
ld0222,FK,CW,23/11/2016,3/6/2018,0.548,3.88,32,,5.65,29,ALIVE,,ld022243165,Original
ld0222,FK,CW,23/11/2016,06-21-2018,0.769,4.14,33,,5.97,29,ALIVE,,ld022243272,Original
ld0222,FK,CW,23/11/2016,06-21-2018,0.769,,33,,,29,ALIVE,,ld022243272,Duplicate
ld0223,FK,CW,26/11/2016,11-26-2016,0.135,3.284,18.515,24.655,4.23,29,DEAD,,ld022342700,Original
ld0223,JC,CW,26/11/2016,12/10/2016,0.125,3,19.079,22.311,4.68,29,DEAD,,ld022342714,Original
ld0224,FK,CW,26/11/2016,11-26-2016,0.111,3.184,17.459,23.407,4.45,29,ALIVE,,ld022442700,Original
ld0224,JC,CW,26/11/2016,12/10/2016,0.106,2.962,17.915,23.16,4.55,29,ALIVE,,ld022442714,Original
ld0224,JC,CW,26/11/2016,1/6/2017,0.124,3.19,18.42,22.82,4.52,29,ALIVE,,ld022442741,Original
ld0224,JC,CW,26/11/2016,2/3/2017,0.175,3.24,20.793,25.206,4.57,29,ALIVE,,ld022442769,Original
ld0224,JC,CW,26/11/2016,02-23-2017,0.19,3.57,19.87,27.24,4.52,29,ALIVE,,ld022442789,Original
ld0224,JC,CW,26/11/2016,03-23-2017,0.239,3.37,21.38,29.04,5.17,29,ALIVE,,ld022442817,Original
ld0224,JC,CW,26/11/2016,04-18-2017,0.261,3.68,23.19,32.38,5.3,29,ALIVE,,ld022442843,Original
ld0224,FK,CW,26/11/2016,05-19-2017,0.3,3.87,25.26,33.97,4.95,29,ALIVE,,ld022442874,Original
ld0224,FK,CW,26/11/2016,07-20-2017,0.323,3.42,25.5,,5.04,29,ALIVE,,ld022442936,Original
ld0224,FK,CW,26/11/2016,09-15-2017,0.351,3.52,25,,5.26,29,ALIVE,,ld022442993,Original
ld0224,FK,CW,26/11/2016,11-14-2017,0.413,3.52,27.5,,5.35,29,ALIVE,,ld022443053,Original
ld0224,FK,CW,26/11/2016,01-15-2018,0.469,3.72,28,,5.45,29,ALIVE,,ld022443115,Original
ld0224,FK,CW,26/11/2016,3/6/2018,0.457,3.49,29,,5.54,29,ALIVE,,ld022443165,Original
ld0224,FK,CW,26/11/2016,06-21-2018,0.488,3.53,29,,5.72,29,ALIVE,,ld022443272,Original
ld0224,FK,CW,26/11/2016,06-21-2018,0.488,,29,,,29,ALIVE,,ld022443272,Duplicate
ld0224,TF,CW,26/11/2016,07-31-2018,0.666,,31,,,29,ALIVE,,ld022443312,Original
ld0225,FK,CW,27/11/2016,11-27-2016,0.107,3.298,16.663,25.105,4.09,29,DEAD,,ld022542701,Original
ld0225,JC,CW,27/11/2016,12/11/2016,0.095,3.012,17.922,21.745,4.64,29,DEAD,,ld022542715,Original
ld0226,BS,CW,28/11/2016,12-19-2016,0.105,,,,3.96,29,DEAD,,ld022642723,Original
ld0226,FK,CW,28/11/2016,12-26-2016,0.102,2.945,18.169,23.081,4.25,29,DEAD,,ld022642730,Original
ld0226,JC,CW,28/11/2016,1/9/2017,0.143,3.14,19.89,24.33,4.57,29,DEAD,,ld022642744,Original
ld0226,FK,CW,28/11/2016,01-22-2017,0.168,3.21,20.93,25.58,4.62,29,DEAD,,ld022642757,Original
ld0226,JC,CW,28/11/2016,2/6/2017,0.183,3.367,21.465,28.061,4.58,29,DEAD,,ld022642772,Original
ld0226,JC,CW,28/11/2016,02-23-2017,0.228,3.43,23.02,29.72,4.66,29,DEAD,,ld022642789,Original
ld0226,JC,CW,28/11/2016,03-23-2017,0.279,3.28,24.22,33.16,5.12,29,DEAD,,ld022642817,Original
ld0226,JC,CW,28/11/2016,04-18-2017,0.269,3.55,23.34,32.38,5.27,29,DEAD,,ld022642843,Original
ld0226,FK,CW,28/11/2016,05-19-2017,0.292,3.65,24.41,35.66,5.25,29,DEAD,,ld022642874,Original
ld0226,FK,CW,28/11/2016,07-20-2017,0.315,3.38,25,,4.65,29,DEAD,,ld022642936,Original
ld0226,FK,CW,28/11/2016,09-15-2017,0.239,3.52,25.5,,5.39,29,DEAD,,ld022642993,Original
ld0226,FK,CW,28/11/2016,11/7/2017,0.346,3.74,27,,4.94,29,DEAD,,ld022643046,Original
ld0226,FK,CW,28/11/2016,01-15-2018,0.352,3.58,25,,5.25,29,DEAD,,ld022643115,Original
ld0226,FK,CW,28/11/2016,3/6/2018,0.379,3.55,26,,5.14,29,DEAD,,ld022643165,Original
ld0227,FK,CW,28/11/2016,11-28-2016,0.111,3.194,16.838,21.355,4.47,29,DEAD,,ld022742702,Original
ld0227,JC,CW,28/11/2016,12-19-2016,0.095,,,,4.26,29,DEAD,,ld022742723,Original
ld0227,FK,CW,28/11/2016,12-26-2016,0.093,,,,4.05,29,DEAD,,ld022742730,Original
ld0230,FK,CW,7/12/2016,12/7/2016,0.135,3.479,18.523,23.196,4.49,23,DEAD,,ld023042711,Original
ld0230,JC,CW,7/12/2016,12-21-2016,0.138,,,,4.91,23,DEAD,,ld023042725,Original
ld0230,JC,CW,7/12/2016,1/4/2017,0.181,3.28,21.32,23.44,4.68,23,DEAD,,ld023042739,Original
ld0230,JC,CW,7/12/2016,01-18-2017,0.178,3.43,21.67,25.36,4.89,23,DEAD,,ld023042753,Original
