season,lizard_id,tc,species,trt,sex,current_enclosure,egg_id,clutch,egg_enclosure,egg_date,egg_mass,egg_length,egg_width,hatch_date,hatch_mass,hatch_svl,hatch_tl,rm1_date,rm1_mass,rm1_svl,rm1_tl,death_date,liz_status,mortality,notes,tissue_box,mating_enclosure,post_extract_mass,yolk_reduction,hatch_total,feeding_expt,metabolism,behaviour,feed_date_start,metab_start_date,growth,thanatosis,rm_notes,cohort,mesocosm
<2018,LD100_MQ,"""(45)4(34)(234)""",delicata,NA,m,E020_M,NA,NA,NA,17/9/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALIVE,0,NA,NA,E020_M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
<2018,LD101_MQ,"""0030""",delicata,NA,f,NA,NA,NA,NA,17/9/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALIVE,0,NA,NA,E020_M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
<2018,LD102_MQ,"""005(35)""",delicata,NA,f,NA,NA,NA,NA,17/9/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/10/2022,DEAD,1,Dead 24/10/2022,NA,E020_M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
<2018,LD103_MQ,"""0000""",delicata,NA,m,NA,NA,NA,NA,17/9/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALIVE,0,NA,NA,E020_M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
<2018,LD104_MQ,"""0(12)(A)(A)""",delicata,NA,m,E021_M,NA,NA,NA,17/9/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALIVE,0,NA,NA,E021_M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
<2018,LD105_MQ,"""0000""",delicata,NA,m,NA,NA,NA,NA,17/9/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALIVE,0,NA,NA,E021_M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
<2018,LD106_MQ,"""0000""",delicata,NA,m,NA,NA,NA,NA,17/9/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALIVE,0,NA,NA,E022_M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
<2018,LD107_MQ,"""00(34)2""",delicata,NA,m,E062,NA,NA,NA,17/9/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALIVE,0,NA,NA,E022_M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
<2018,LD108_MQ,"""0105""",delicata,NA,m,NA,NA,NA,NA,17/9/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALIVE,0,NA,NA,E023_M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
<2018,LD109_MQ,"""0400""",delicata,NA,f,NA,NA,NA,NA,17/9/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALIVE,0,NA,NA,E020_M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
